,txt
10,"예, 당신은 당신을 볼 수 있습니다.그렇습니다. 당신은 서울 중앙 검찰 Lee Hyun -Joo의 좋은 일입니다. 이것은 이번에는 이것을 알고있는 사람입니다. 지금, 우리는 이번에는 Kim의 사기 사기입니다. 은행 계좌에 대해 말해야합니다.예, 은행 계좌를 찾았습니다.그렇습니다. Nonghyup Bank와 Shinhan Bank Bank 은행은 발견되었습니다. 올해 9 월 19 일 목요일에 저렴한 은행 계좌의 발행을 확인했을 때 Shinhan이 Wolbae의 달에 발행된다는 것이 확인되었습니다.피해자가 지금까지 사용 된 경우, 나는 당신에게 연락을 취했다., 그것은 소환 형태의 형태로 녹음하여 진행 될 것입니다. 당신은 진정한 녹음에 동의합니까?네, 지금 뭐하는거야?직장에서 무엇을하고 있습니까?당신이 당신의 집에있는 경우, 내 목소리 대신, 나는 다음 주에 법원에 제출할 중요한 소라입니다. 정보 법에 따라 사회 보장 번호 또는 계정 번호 비밀번호는 우리의 조사 기관에서 필요하지 않습니다.큰 소리로 말하라고 말하십시오.예, 큰 소리로 말할 것입니다. Jeilbo Kim Jung -hyun 수사관은 내 이름과 나이를이 녹슬로 포착 할 수있을 것입니다.똥이야.당신은 흰 놈으로 무엇을 말하고 있습니까? 지금 관절을 제거하십시오.당신은 무엇을하고 있습니까? yo"
11,"여기 어디 계세요? 그게 무슨 일이야?나는 지금 비고이프 은행의 미래에 있지만, 무슨 일이 일어나고 있는지, 그러나 그것은 1 월에 오랫동안 오랫동안 운송 업체로 만나는 낮은 펀드입니다.어, 나는 그것을 만들지 않았지만 나는 그렇게 말할 수 없었습니다. 당신은 무엇을합니까?그것은 또한 최고 검찰청이라고도합니다.빨리 수정하지 마십시오. 다시 한 번 먹을 것입니다.다시 먹을 게요.예, 저는 실직 상태입니다.예, 나는 당신의 아버지가 아닙니다. 이것은 나의 아버지의 범인이며, 지금 범인을 키우고 있습니다. 왜 당신은 당신의 아버지의 양육권입니까?"
12,"서울 정통 이제 저는 초영의 철수 담당자입니다. 나는 그것을 들었거나 알고 있다는 소식을 들었습니다. 많은 확인이 있습니다.내 이름으로는이 시험을 받았으며 은행 계좌는 판매 또는 양도 된 가해자 또는 개인 정보로 지명 된 피해자가 새로운 지 여부를 알기 위해 유출 된 피해자였습니다.IL -DAN은 저렴한 가격으로 상품을 저렴한 가격으로 판매하는 은행 계좌입니다.나중에 배당 명령을 신청하겠습니다. 경찰로 돌아갈 필요가 없었으며 조사를 받기 위해 경찰에 갈 필요가 없었습니다.나는 그날 그것에 대해 설명했다.예, 전화 로이 동의를 설명합니다. 저는 당신에게 원료를 보내겠습니다.회사에 보내 드리겠습니다. 어떻게해야합니까?예, 주소를 얼릴 필요가 없습니다."
13,"서울 메트로폴리탄 경찰청 (Seoul Metropolitan Police Agency)의 사이버 조사 팀입니다. 제가 묻는 이유는 지난 주에 우리의 조사 팀입니다.우리는 우리가 서울 마토의 금융 회사라고 추천했으며, 추위이며 나는 그것에 관심이 있습니다.말해.예, 우리는이 압력에서 발견되었습니다.발견 된 것.은행 계좌입니다.그것은 대포 계정입니다. 그것은 나의 은행 계좌입니다. 저는 은행 계좌, Hana Bank 및 Nonghyup 국회입니다.어떻게해야합니까?전에 언급했습니다. 교사의 거주 등록 카드가 있습니다.그는 당신을 안내 할 것입니다.그래서 당신은 무엇을합니까, 당신이 나에게서 볼 무언가가 있다면, 그것은 파견 명령이나 소환이거나 전화로 보내야합니다. 그것은 현지 경찰관입니다.사이버 조사 팀입니다. 오, 저는 수사관을 담당하고 있습니다.나는 경사입니다.궁금한 점은 무엇입니까?전화 번호는 몇 번이나 전화 번호 182입니다. 얼마나 많은 사람들을 확인 해야하는지."
14,"네, 허.예, 당신은 맞습니다. 그렇습니다.하지만 왜 나를 그렇게 느리게하게 되나요? 지금 어디서하고 있습니까?뭐라고 하셨나요?당신은 어디에서 말할 것입니까?그것은 검찰의 사무실입니다. 중요하지 않으며, 저에게 보내 드리겠습니다."
15,"Hello Pepper Savings Bank 이것은 Pepper Savings Bank입니다. 현재 높은 이자율이 있습니다.예, 당신은 당신이 지금하고있는 일을하고있는 사업가 인 직원입니다. 단기 연체 연체 역사는 없습니다. 나는 그것을 받고 있습니다. Phil Dae -Hwan의 추가로 인해 약간 필요합니다.Crew.yes에서는 고객의 멋진 점을 확인하겠습니다. 최근에 귀하의 문의에 대해 알아 보려고 노력했습니다. 독서를 통해 정확한 부채 이력이 지금 당신을 안내 할 것입니다.교환의 목적보다 먼저 추가 자금이 있습니다. 고객 서비스 대행사는 어디에 있습니까?그렇습니다. Uplus는 LG의 저렴한 전화가 아니며 약간의 직책이 있으며 대리자의 소유자는 팀 리더입니다.저는 팀 리더입니다.당신은 팀의 수장입니다. 세오, 카르마를 구별 할 때, 나는 담당자의 이름을 구별합니다.예를 들어, Shinil Metal은 여기에 하나의 장소가 있는지 여부는 중요하지 않지만 여러 곳이있을 것입니다. 집이 있다면 집이 지금 헌장입니다.조금 물어보세요. 나는 그것을 시도하지 않았습니다.나는 당신에게 말했다.나는 지난번에하지 않았다. 그것은 2 월 1 일, 예, 2 월 1 일정확한 생년월일입니다.Pepper Savings Bank입니다. 국수에 7 석이 있고 1985 년 2 월 1 일에는 어떻게됩니까?예 181443. 예"
16,"안녕하세요, 예, HANA 이자율입니다.Kim Jong -Man은 맞습니다. 추가 돈이 필요합니다.지금 당장 많은 돈이 필요합니다.추가 자금이 필요합니다.나는 그것이 직업이 될 것이라고 생각합니다.나는 사무직 직원입니다. 그것은 4000이지만 지금은 지금입니다.예, 지금입니다.예, 18 세 였고 자본 저축 은행의 자본에 사용하고 있습니다. 현금 서비스를 사용하십시오.아니요, 카드가 없습니다.그러면 수표 카드가 있습니다. 예, Lee Jong -Man은 고객입니다.예, 나는 HANA 재무 책임자에게 배정되어 연락을 취했습니다.당신은 무엇을 사용하고 있습니까? 나는 그것을 사용하지 않습니다.나는 그것을 사용하지 않거나 재활 파산이나 연체가 있습니다. 그 사람은 무엇입니까?직장의 이름은 무엇입니까? 그는 주거 양식의 형태가 아파트이고 소유권 양식은 자체적으로 자산이라고 말했습니다. 자산이 있으면 더 많은 금리와 한계를 계산할 수 있습니다.조금 옳습니다.예, 괜찮습니다. 지금 4000이 필요하다고 말했습니다.그런 다음 약 4 천만 원이 필요합니다. 예, 예, 예, 예, 이자율이 10.6 %적용됩니다. 팩스를 보내주십시오.나에게 문자 나 전화를 보내주세요."
17,"Honey.so, 몇 가지 요구가 있다면 잠시 동안 필요했습니다.그 당시에는 약 5000. 예입니다. 잠시 동안 그것에 대해 이야기 할 수 있습니다. 사용하십시오.그래서 지금 나는 미리 묻습니다. 처음으로, 처음으로, 처음으로, 자동차 번호라고 부르는 것은 처음입니다. 대출을 받기가 쉽지 않습니다. 말하고 싶지 않은 경우., 당신은 지금 당신에게 말할 필요가 없습니다. 예, 예, 예, 월 소득이 얼마나 오래 걸리는지 말하지 않습니까?350입니까? 당신은 18 년 동안 일해 왔습니다.은행 계좌로 급여를 받고 있습니까?아니요, 전에는 없습니다. 조금하지 않겠습니다. 죄송합니다.잠시 죄송합니다.이것은 우리가 지금 당신의 고객을 상담 할 때입니다. 우리와 마찬가지로 지금 물었습니다. 그러나 지금 차를 물었을 때 기분이 좋지 않으면 죄송합니다.나는 그것이 처음인지 모르겠다. 나는 당신에게 가이드를 줄 것이다.큰 문제가 아닙니다.지금은 건강 보험료가 있는지 확인해야하지만 3 개만 요청하겠습니다.하지만 안내해 줄게요.고객에게 전화를 보내주세요."
18,"안녕하세요 SBI 저축 은행. 계획중인 경우, 문의에 의해 감소되는 최소 이자율을 계획하고 있다면 먼저 조건을들을 것입니다.이 조건은 현재이며 급여는 어느 정도 설정되었습니다.연봉은 3800입니다. 저는 직원의 우선 요금을 계산할 수 없으며 연락을 드릴 것입니다. 어디에서 SBI 저축 은행을 말 했습니까?3,800 만 원입니다.예, 맞습니다. 자금에는 얼마가 필요합니까?얼마나 필요합니까?얼마나 가능한가? 현재 2000 년이되면 급여에 비해 100 % 이상이 아니며, 가능하다고 생각하지만 약 2 천만 원이 필요했고 현재 신용 카드를 사용하고있었습니다.무급은 아무것도 없다. 나는 당신이 더 나올 것이라고 생각합니다.당신이 기꺼이 진행한다면, 나는 당신에게 간단한 소득 사료만으로 당신을 안내 할 것입니다. 나는 그것을 문자 메시지로 남겨 둘 것입니다.언제 이걸 습격 할 수 있습니까?시간을 주어야 할 때 나는 당신을 떠날 것입니다."
19,"그래, 저는 킴지 -히운 (Kim Ji -hyun), 김지 -히운 (Kim Ji -hyun) 부의장의 상담을 도왔다. 나는 여전히 그렇게한다.그렇기 때문에 프로모션 기간이되었으므로 저는 여러분과 연락하고 있습니다.예, 추가 자금이 필요합니다. 생년월일은 어떻습니까?예 85 2 월 27 일과 85 년.그렇습니다소기업 대출 수와 사업주가 없지만 저는 사업이 아니며 지금은 사업을 시작하고 있습니다.예, 일할거야 회사입니다.제조 산업입니다.그것은 제조 산업이었고 얼마나 오래 일 했습니까?18 년.월 평균 월급은 지금 특정 달을 받고 있습니다.신용 카드를 사용하지 않았습니다.나는 당신에게 내가 그렇게하지 않았다고 말했습니다. 모델은 이제 아난 테노 이후 몇 년이 지났고 카드가 없으므로 카드 대출 현금 서비스가 없습니다.제한과 이자율을 계산하자마자 연락하겠습니다. 제한은 이제 최대 4500 명입니다. 요금은 약 8.9 %입니다.그런 다음 신분증 사진과 신분증을 텍스트로 넣을 수 있습니다.예, 당신은 일할 것입니다. 건강 보험 회사에 전화하면 간단히 보낼 수 있으므로 문서 양식을 보내 드리겠습니다."
20,"예, 예, 예, 그렇습니다.당신이 고객이라면? 당신이 빌어 먹을 놈을 때리라도 gura를 때릴 수 있습니다. 그것은 당신의 아기가 아닙니다. 그것은 당신의 사랑이 아닙니다. 그래서 나는 당신의 음성 피싱에 대해 말하는 것이 아닙니다. 당신은 당신의 Abi -Bi에게 무엇을하고 있습니까?나는 직원이고, 그것은 목소리가 아닙니다"
24,"안녕하세요, 당신은 KB 저축 은행 영업 부서입니다. 나는 당신에게 연락했지만 괜찮습니다. 당신은 당신이 어떤 식 으로든 추가 생계 자금을 얻을 수 있습니다.그래서 당신은 대출이 필요합니다.이자율이 높지 않습니다. 각 고객의 신용률에 따라 금리를 볼 수 있지만 일반적으로 3.2 % ~ 7.5 %로 적용됩니다. 연체 또는 무급 기록이있을 때까지 적용됩니다.최근 에이 은행에서 대출을 교체하려고하는 은행은 무엇입니까, 나는 Kibiyo 예 KB KB 정확히 자본 또는 Kookmin 은행입니까? 5 천만 원은 상환 금액이 있습니다..그것은 대출이나 대출입니다. 나는 당신을 도와주고 당신과 함께 진행할 것입니다. 얼마나 오래 자리에 있었습니까?15 년이 지났습니다.15 년이 지났습니다.몇 년 15 년이 지났습니다.15 년이 지났는데, 당신이 찾아 보면, 당신은 당신의 신원에 대한 개인 정보가 필요합니다. 보시다시피, 그것이 금융 부문이더라도 사회 보장 번호없이 대출을 할 수있었습니다. 그것은 송파 -daero에 있습니다.Songpa -gu, 당신의 이름은 무엇입니까?"
26,"안녕하세요, 당신은 Kiwoom 저축 은행입니다.지난번에는 제한이 적었지만 이번 달에는 이자율이 완화되었지만 저축 은행 자본의 낮은 이자율로 인해 아직 대안이 없었습니다. 전혀 아무것도 없습니다.예, 저금리로 나오면 돈이 필요합니다.이자율 5 증거 한도에는 최대 금액이 필요합니다. 저는 나이가 많고 몇 살입니다.몇 살이되었는데 6 개월 이상 근무했습니다.이자율이 좋으면 한도가 좋고 이자율이 좋으면 10 분 전에 전화 할 것입니다. 예, 안녕하세요, Kim Pan -Seok, 고객은 Kiwoom입니다.저축 은행. 월급 계좌로 그 달에 보증금이 얼마나 걸립니까?올해 3 백만 우승.3 백만 원은 현재 3600을 넘습니다. 신용의 연체는 없습니다.예, 신용 카드를 사용하고 있습니다. 발급되지 않습니까?나는 그것을 만들지 않았다.고객 인증서가 있습니다. 가족 관계를 빌려줍니다.나는 대출을 받고 있습니다. 5 월 6 일, 당신은 당신의 성적 점수를 알고 있습니다.아니, 당신은 모릅니다.당신이 지금 그것을 사용하고 있다면, 당신은 대출이 없습니다. 나는 그것이 기금이라고 생각합니다. 나는 그것을 넣을 것이고 결과가 한도 문의라면, 한도 또는 이자율에 연락 드리겠습니다.무엇을 얻을 건가요?왜 당신은 당신의 주소를 물어 보입니까? 나는 이것을 필요로하지 않지만 나는 당신에게 고객에게 묻지 않습니다.나는 당신의 이름과 휴대 전화 번호 만 알고 있습니다. 지금 당신은 지금 그것을하지 않았으므로 지금 물었을 때 불쾌했을 수도 있지만 지금 필요했기 때문에 필요했을 것입니다. 저축 은행은 무엇입니까?당신은 회사에 대한 비용을 지불 할 수 있습니까? 이제 우리는 강남입니다.우리 지점을 방문 하시겠습니까?무엇을 방문 하시겠습니까? 그래서 강남의 강남에있는 Dower Kiwoom Savings Bank에는 여러 곳이 있습니다. 어떤 지점입니까?아니요, 지금 당신이하고 싶은 것은 대출입니다. 고객은 지금 저에게 물어 보라고 묻습니다. 나는 그것을 받아 들여서 우리 편에서 나왔습니다. 그렇지 않습니다.저축 은행이 아닌 몇몇 이온 이온이었다.맞습니다. 지금 전화하면받을 것입니다. 동일하지만, 내가 상담하고 진행하는 Nonhyeon 상점의 일부에 있습니다.예, 예, 그렇습니다. 지금 전화 할 때 전화하면 미안합니다. 지금 의심하지 않으면 진행하지 않으려면 Nonhyeon 지점을 방문 할 수 있습니다."
