,txt
11,"여기 어디 계세요? 그게 무슨 일이야?나는 지금 비고이프 은행의 미래에 있지만, 무슨 일이 일어나고 있는지, 그러나 그것은 1 월에 오랫동안 오랫동안 운송 업체로 만나는 낮은 펀드입니다.어, 나는 그것을 만들지 않았지만 나는 그렇게 말할 수 없었습니다. 당신은 무엇을합니까?그것은 또한 최고 검찰청이라고도합니다.빨리 수정하지 마십시오. 다시 한 번 먹을 것입니다.다시 먹을 게요.예, 저는 실직 상태입니다.예, 나는 당신의 아버지가 아닙니다. 이것은 나의 아버지의 범인이며, 지금 범인을 키우고 있습니다. 왜 당신은 당신의 아버지의 양육권입니까?"
13,"서울 메트로폴리탄 경찰청 (Seoul Metropolitan Police Agency)의 사이버 조사 팀입니다. 제가 묻는 이유는 지난 주에 우리의 조사 팀입니다.우리는 우리가 서울 마토의 금융 회사라고 추천했으며, 추위이며 나는 그것에 관심이 있습니다.말해.예, 우리는이 압력에서 발견되었습니다.발견 된 것.은행 계좌입니다.그것은 대포 계정입니다. 그것은 나의 은행 계좌입니다. 저는 은행 계좌, Hana Bank 및 Nonghyup 국회입니다.어떻게해야합니까?전에 언급했습니다. 교사의 거주 등록 카드가 있습니다.그는 당신을 안내 할 것입니다.그래서 당신은 무엇을합니까, 당신이 나에게서 볼 무언가가 있다면, 그것은 파견 명령이나 소환이거나 전화로 보내야합니다. 그것은 현지 경찰관입니다.사이버 조사 팀입니다. 오, 저는 수사관을 담당하고 있습니다.나는 경사입니다.궁금한 점은 무엇입니까?전화 번호는 몇 번이나 전화 번호 182입니다. 얼마나 많은 사람들을 확인 해야하는지."
14,"네, 허.예, 당신은 맞습니다. 그렇습니다.하지만 왜 나를 그렇게 느리게하게 되나요? 지금 어디서하고 있습니까?뭐라고 하셨나요?당신은 어디에서 말할 것입니까?그것은 검찰의 사무실입니다. 중요하지 않으며, 저에게 보내 드리겠습니다."
15,"Hello Pepper Savings Bank 이것은 Pepper Savings Bank입니다. 현재 높은 이자율이 있습니다.예, 당신은 당신이 지금하고있는 일을하고있는 사업가 인 직원입니다. 단기 연체 연체 역사는 없습니다. 나는 그것을 받고 있습니다. Phil Dae -Hwan의 추가로 인해 약간 필요합니다.Crew.yes에서는 고객의 멋진 점을 확인하겠습니다. 최근에 귀하의 문의에 대해 알아 보려고 노력했습니다. 독서를 통해 정확한 부채 이력이 지금 당신을 안내 할 것입니다.교환의 목적보다 먼저 추가 자금이 있습니다. 고객 서비스 대행사는 어디에 있습니까?그렇습니다. Uplus는 LG의 저렴한 전화가 아니며 약간의 직책이 있으며 대리자의 소유자는 팀 리더입니다.저는 팀 리더입니다.당신은 팀의 수장입니다. 세오, 카르마를 구별 할 때, 나는 담당자의 이름을 구별합니다.예를 들어, Shinil Metal은 여기에 하나의 장소가 있는지 여부는 중요하지 않지만 여러 곳이있을 것입니다. 집이 있다면 집이 지금 헌장입니다.조금 물어보세요. 나는 그것을 시도하지 않았습니다.나는 당신에게 말했다.나는 지난번에하지 않았다. 그것은 2 월 1 일, 예, 2 월 1 일정확한 생년월일입니다.Pepper Savings Bank입니다. 국수에 7 석이 있고 1985 년 2 월 1 일에는 어떻게됩니까?예 181443. 예"
16,"안녕하세요, 예, HANA 이자율입니다.Kim Jong -Man은 맞습니다. 추가 돈이 필요합니다.지금 당장 많은 돈이 필요합니다.추가 자금이 필요합니다.나는 그것이 직업이 될 것이라고 생각합니다.나는 사무직 직원입니다. 그것은 4000이지만 지금은 지금입니다.예, 지금입니다.예, 18 세 였고 자본 저축 은행의 자본에 사용하고 있습니다. 현금 서비스를 사용하십시오.아니요, 카드가 없습니다.그러면 수표 카드가 있습니다. 예, Lee Jong -Man은 고객입니다.예, 나는 HANA 재무 책임자에게 배정되어 연락을 취했습니다.당신은 무엇을 사용하고 있습니까? 나는 그것을 사용하지 않습니다.나는 그것을 사용하지 않거나 재활 파산이나 연체가 있습니다. 그 사람은 무엇입니까?직장의 이름은 무엇입니까? 그는 주거 양식의 형태가 아파트이고 소유권 양식은 자체적으로 자산이라고 말했습니다. 자산이 있으면 더 많은 금리와 한계를 계산할 수 있습니다.조금 옳습니다.예, 괜찮습니다. 지금 4000이 필요하다고 말했습니다.그런 다음 약 4 천만 원이 필요합니다. 예, 예, 예, 예, 이자율이 10.6 %적용됩니다. 팩스를 보내주십시오.나에게 문자 나 전화를 보내주세요."
17,"Honey.so, 몇 가지 요구가 있다면 잠시 동안 필요했습니다.그 당시에는 약 5000. 예입니다. 잠시 동안 그것에 대해 이야기 할 수 있습니다. 사용하십시오.그래서 지금 나는 미리 묻습니다. 처음으로, 처음으로, 처음으로, 자동차 번호라고 부르는 것은 처음입니다. 대출을 받기가 쉽지 않습니다. 말하고 싶지 않은 경우., 당신은 지금 당신에게 말할 필요가 없습니다. 예, 예, 예, 월 소득이 얼마나 오래 걸리는지 말하지 않습니까?350입니까? 당신은 18 년 동안 일해 왔습니다.은행 계좌로 급여를 받고 있습니까?아니요, 전에는 없습니다. 조금하지 않겠습니다. 죄송합니다.잠시 죄송합니다.이것은 우리가 지금 당신의 고객을 상담 할 때입니다. 우리와 마찬가지로 지금 물었습니다. 그러나 지금 차를 물었을 때 기분이 좋지 않으면 죄송합니다.나는 그것이 처음인지 모르겠다. 나는 당신에게 가이드를 줄 것이다.큰 문제가 아닙니다.지금은 건강 보험료가 있는지 확인해야하지만 3 개만 요청하겠습니다.하지만 안내해 줄게요.고객에게 전화를 보내주세요."
18,"안녕하세요 SBI 저축 은행. 계획중인 경우, 문의에 의해 감소되는 최소 이자율을 계획하고 있다면 먼저 조건을들을 것입니다.이 조건은 현재이며 급여는 어느 정도 설정되었습니다.연봉은 3800입니다. 저는 직원의 우선 요금을 계산할 수 없으며 연락을 드릴 것입니다. 어디에서 SBI 저축 은행을 말 했습니까?3,800 만 원입니다.예, 맞습니다. 자금에는 얼마가 필요합니까?얼마나 필요합니까?얼마나 가능한가? 현재 2000 년이되면 급여에 비해 100 % 이상이 아니며, 가능하다고 생각하지만 약 2 천만 원이 필요했고 현재 신용 카드를 사용하고있었습니다.무급은 아무것도 없다. 나는 당신이 더 나올 것이라고 생각합니다.당신이 기꺼이 진행한다면, 나는 당신에게 간단한 소득 사료만으로 당신을 안내 할 것입니다. 나는 그것을 문자 메시지로 남겨 둘 것입니다.언제 이걸 습격 할 수 있습니까?시간을 주어야 할 때 나는 당신을 떠날 것입니다."
19,"그래, 저는 킴지 -히운 (Kim Ji -hyun), 김지 -히운 (Kim Ji -hyun) 부의장의 상담을 도왔다. 나는 여전히 그렇게한다.그렇기 때문에 프로모션 기간이되었으므로 저는 여러분과 연락하고 있습니다.예, 추가 자금이 필요합니다. 생년월일은 어떻습니까?예 85 2 월 27 일과 85 년.그렇습니다소기업 대출 수와 사업주가 없지만 저는 사업이 아니며 지금은 사업을 시작하고 있습니다.예, 일할거야 회사입니다.제조 산업입니다.그것은 제조 산업이었고 얼마나 오래 일 했습니까?18 년.월 평균 월급은 지금 특정 달을 받고 있습니다.신용 카드를 사용하지 않았습니다.나는 당신에게 내가 그렇게하지 않았다고 말했습니다. 모델은 이제 아난 테노 이후 몇 년이 지났고 카드가 없으므로 카드 대출 현금 서비스가 없습니다.제한과 이자율을 계산하자마자 연락하겠습니다. 제한은 이제 최대 4500 명입니다. 요금은 약 8.9 %입니다.그런 다음 신분증 사진과 신분증을 텍스트로 넣을 수 있습니다.예, 당신은 일할 것입니다. 건강 보험 회사에 전화하면 간단히 보낼 수 있으므로 문서 양식을 보내 드리겠습니다."
21,"안녕하세요, 당신은 고객이 아닌 금융입니다. 구매할 수 있습니다.예, 당신의 급여는 얼마입니까?고객 연봉은 4000입니다. 4000은 4000입니다. 대출이 있습니까?대출 없음 대출 없음 대출 없음.예, 대출이 없습니다.지금 얼마나 필요합니까?얼마가 될까요? 문제가 없거나 기한이 없거나 그와 같은 것이 없습니다.이제 그것은 비고이프 금융입니다. 잠시 괜찮을 것입니다.예, 당신은 13 년 동안 일해 왔습니다. 당신은 나에게 없다고 말했습니다.그렇습니다. 잠시 동안 나는 소녀에게 왔지만 지금은 대출이 없습니다.예, 신용에 문제가있을 수 있습니다.당신은 개인 재활이나 신용 회복과 같은 것이 있습니다.그 자금은 얼마되지 않습니까?이제 저는 지금 3700의 급여가 있습니다.전혀 비자가 없으며 신용에 아무런 문제가 없습니다.예, 신용 카드를 사용하고 있습니다. 신용 카드가 없으며, 그렇게하면 지금 할 수있는 금액은 약 2000 ~ 2500입니다. 최대 한도를 보면 한도는 최대 3200이며다음 부분이 가입하고 기간이 계획되어 있습니다.이 작업을 수행하는 경우 회사 또는 개인 직장입니다.회사와 회사입니다. 먼저 한도를 먼저 알게 될 것입니다.나는 지금 결혼했다.당신은 결혼했습니다.나는 결혼하거나 결혼하지 않았다. 가족이 있다면 더 유리하다.그래서 가족이 있습니다.왜 그런 겁니까?이것을 물어 보는 것이 잘못된 이유는 무엇입니까?아니, 난 그냥 묻습니다. 이것이 제가 재무 이력 검토 부서에서 결혼하거나 미혼 인 이유이지만 그게 중요합니다."
22,"예, 저는 Kim Jong -Man의 고객입니다. 다른 조건이 없기 때문에 다른 상태가 없기 때문에 다른 상태는 없습니다. 그 당시에는 15 년 동안 15 년 동안 일하면서 15 년 동안 일했습니다.약 3700.YES, 85 -YEAR -OLD KIM JONG -MAN이 옳습니다. 대부는 없습니다.결석하지 마십시오. 나는 문의를 떠났기 때문에 당신에게 연락했습니다.당신은 괜찮습니다. 당신은 그것을 보거나 당신은 그것을 살아있는 것으로 필요로합니다.그렇습니다. 귀하는 기업 회사이며 15 년 동안 일해 왔습니다. 거의 4000 급 급여, 또는 4200 또는 현재 급여는 3700이지만 실수는 연간 약 4,200 만 명입니다.예, 당신은 회사의 이름으로 와서 신용 카드를 사용하고 있습니다.나는 당신에게 내가 그것을 사용하지 않는다고 말했습니다. 그것은 실제 보험과 같지 않지만 대출입니다.왜 필요한가요?이 보험은 매달 매달 갈 것입니다. 꾸준한 지불이있는 경우 나오는 제품이 있다면 제품이 나옵니다.그것은 그것과 아무 관련이 없습니다. 아니, 보험으로 할 수있는 제품이있을 수 있으므로 미리 당신에게 묻습니다. 당신은 당신에게 말할 필요가 없습니다.예, 그게 당신의 주거용 태권은 주택 빌라에 어떤 일이 일어날까요?예 Villa Filla는 히트와 자기 렌트? 어떻게 될까요?차량 번호를 물어 보는 이유는 무엇입니까?당신이 차가 있다면, 그것은 당신의 재산입니다.이 부동산은 재산입니다. 그것은 우선적 인 응용 프로그램이지만, 나는 당신에게 묻습니다. 그것은 고객에게 밀접한 수요이며, 말하기는 어렵지만 우리는 고객에게 대출을받을 것입니다."
23,"회원의 날은 주식 정보를 신청 한 블로그 경제입니다.예, 다르지 않습니다. 이는 그렇지 않습니다. 오늘 저는 오늘입니다.그러나 나는 보통 약간의 판매가 있지만, 나는 두 가지 권장 사항 만 가지고 있습니다. 나는 나를 팔고 있었고, 끝까지 그것을 먹을 수 없었지만 끝까지 그것을 먹을 수 없었지만 나는 거꾸로 합류했습니다.그리고 나는 14 %로 나왔고, 나는 14 %를 먹는 것이 이상했다. 나는 나갔고 이익이 너무 좋다."
24,"그렇습니다. 저는 비수나무 금융입니다.당신은 얼마나 오래 사무실에 있었습니까?12 년이 지났습니다.12 살이었습니다.오랜 시간이 걸렸습니다.오랜 시간이 걸렸습니다.Daedong Metal 예, 저는 대표 Seo Mi -kyung.아니요, 대출이 없습니다.고객의 이름에있는 사람이 있습니까? 최대 2000 년에 수락하므로 상담을 받고 원하는 금액을받습니다.신용 카드를 사용하는 경우 신용도가 사용되지 않습니다. 비 게이 up 금융은 010 전화로 010을 담당하는 사람이 호출됩니다.전화를 받고 금리 조건을 사용하면 사용하십시오. 괜찮습니다.필요한 자금이 필요합니다.생계 기금에 필요한 경우 생계 자금이 필요합니다. 우리는 우리의 신원을 확인하고 가능한 한 많이 말하고 말할 수 있습니다.Telecommunications Company.지금은하지만 다시 전화 할게요.860521 예 1814463 예. 저는 살고 있지 않습니다. 죄송합니다. 미안하지만 지금은 아닙니다.나는 그것을 인정할 수 없다.우리는 이제 Gwangju 지점입니다.고객은 무엇입니까?"
